,,,,,,,Daily Price Arrival Report-16-11-2025 to 16-05-2026 for Maharashtra,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,"1,153.00",Metric Tonnes,31-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,762.10,Metric Tonnes,31-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,400.00","1,050.00",Rs./Quintal,975.20,Metric Tonnes,30-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,300.00","1,050.00",Rs./Quintal,714.50,Metric Tonnes,30-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,925.30,Metric Tonnes,30-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,987.40,Metric Tonnes,30-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,500.00","1,150.00",Rs./Quintal,"1,419.80",Metric Tonnes,29-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,200.00",950.00,Rs./Quintal,990.50,Metric Tonnes,29-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,979.40,Metric Tonnes,29-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"2,000.00","1,300.00",Rs./Quintal,"1,083.70",Metric Tonnes,28-11-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,200.00",950.00,Rs./Quintal,726.90,Metric Tonnes,28-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,"1,046.80",Metric Tonnes,28-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,"1,245.30",Metric Tonnes,28-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"2,100.00","1,350.00",Rs./Quintal,992.20,Metric Tonnes,27-11-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,"1,398.40",Metric Tonnes,27-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,300.00","1,000.00",Rs./Quintal,"1,579.40",Metric Tonnes,27-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,100.00",850.00,Rs./Quintal,911.10,Metric Tonnes,27-02-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,"1,354.40",Metric Tonnes,27-01-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,400.00","1,050.00",Rs./Quintal,"1,419.40",Metric Tonnes,26-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"2,000.00","1,300.00",Rs./Quintal,"1,175.80",Metric Tonnes,26-11-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,800.00,"1,400.00","1,100.00",Rs./Quintal,"1,014.50",Metric Tonnes,26-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,500.00,"1,000.00",750.00,Rs./Quintal,947.00,Metric Tonnes,26-02-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"1,400.00","1,050.00",Rs./Quintal,"1,041.20",Metric Tonnes,25-12-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,700.00,"2,100.00","1,400.00",Rs./Quintal,833.40,Metric Tonnes,25-11-2025
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,400.00","1,000.00",Rs./Quintal,881.30,Metric Tonnes,25-04-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,200.00",900.00,Rs./Quintal,"1,388.00",Metric Tonnes,25-03-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,100.00",850.00,Rs./Quintal,"1,073.50",Metric Tonnes,25-02-2026
Maharashtra,Mumbai,Mumbai-Onion & Potato Market APMC,Vegetables,Potato,Other,Local,600.00,"1,400.00","1,000.00",Rs./Quintal,"1,234.60",Metric Tonnes,24-12-2025
